ac_no,ac_name,victory_margin,removed_voters_2025,high_impact_probability
27,Shozhinganallur,35405,214882,0.9999999992432633
30,Pallavaram,37783,141527,0.999997336901784
7,Maduravoyal,31721,126788,0.999994543082548
26,Velachery,4352,124579,0.9999999842694953
28,Alandur,40571,121847,0.9999682353353727
31,Tambaram,36824,121308,0.9999801598202317
22,Virugampakkam,18367,116568,0.9999996378092109
24,Thiyagarayanagar,137,105542,0.9999999729183126
20,Thousand Lights,32462,98703,0.9999833941633481
13,Kolathur,70384,94356,0.9487654314388865
23,Saidapet,29408,92544,0.999942957537992
114,Tiruppur (South),4709,91201,0.9999987946152883
32,Chengalpattu,26665,89208,0.9997865034217398
25,Mylapore,12633,88976,0.9999952180210863
117,Kavundampalayam,9776,87605,0.9999815159157094
115,Palladam,32691,83496,0.9987099541530646
19,Chepauk-Thiruvallikeni,69355,83221,0.9173972832638055
10,Thiruvottiyur,37661,83199,0.9983917377208151
113,Tiruppur (North),40102,83128,0.9964527928712933
8,Ambattur,42146,79866,0.9925395230820885
120,Coimbatore (South),1728,73482,0.9999934553554968
121,Singanallur,10854,70867,0.9999073435014586
16,Egmore,38768,70555,0.9985267249236073
18,Harbour,27274,65268,0.9996988824176161
98,Erode (East),8904,62915,0.9999133311994144
99,Erode (West),22089,62376,0.9978172273297652
192,Madurai South,6515,62035,0.999934331745004
118,Coimbatore (North),4001,60181,0.9998878454320347
88,Salem (West),21499,55752,0.9943597266814096
43,Vellore,9181,54814,0.9994862643127724
193,Madurai Central,34176,54664,0.9749524157199871
119,Thondamuthur,41630,53882,0.8080576731352003
194,Madurai West,9121,52214,0.9990830628249509
46,Gudiyattam,6901,51630,0.9991830665592859
89,Salem (North),7588,51599,0.9991593624842349
127,Palani,30056,50208,0.9542216325468234
125,Udumalaipettai,21895,49443,0.9882139729081263
132,Dindigul,17747,48597,0.9933391498528669
205,Sivakasi,17319,47265,0.9931909085419538
90,Salem (South),22609,47075,0.9802315055400128
102,Kangayam,7331,46724,0.9984183397804294
17,Royapuram,27779,45770,0.9807900634435306
97,Kumarapalayam,31646,45121,0.8877496704496773
101,Dharapuram,1393,43423,0.9991016929927333
122,Kinathukadavu,1095,43299,0.9989698741392078
37,Kancheepuram,11595,41879,0.9919946441652515
126,Madathukulam,6438,41623,0.9975561567665777
85,Mettur,656,41253,0.9986498365508742
139,Srirangam,19915,40177,0.9550292821777985
100,Modakkurichi,281,40000,0.9989091157047267
3,Tiruttani,29253,39182,0.788660915048344
153,Neyveli,977,38711,0.9987999138897402
202,Rajapalayam,3898,37560,0.9971277649154322
124,Valparai,12223,37279,0.9918009821882379
228,Radhapuram,5925,37065,0.9954848352964025
203,Srivilliputhur,12738,36975,0.9852111962637686
4,Thiruvallur,22701,36164,0.8947626462448474
233,Vilavancode,28669,35705,0.8131948252448337
38,Arakkonam,27169,35520,0.8411150725025596
218,Kovilpatti,12403,35096,0.9830196758441397
191,Madurai North,22916,34847,0.917353692686759
204,Sattur,11179,34562,0.9825633485415595
131,Natham,11932,34508,0.974388510326017
40,Katpadi,746,34477,0.9970884542670196
82,Attur,8257,34137,0.9876918890001528
227,Nanguneri,16486,33649,0.9563176095935499
107,Bhavanisagar,16008,33360,0.9506645986565753
206,Virudhunagar,21339,33275,0.9148628089798262
138,Manapparai,12243,33039,0.9693106288106805
221,Kadayanallur,24349,32989,0.8310025123308461
130,Nilakkottai,27618,32746,0.7349600416062684
186,Sivaganga,11253,32075,0.9783455264661197
197,Usilampatti,7477,32011,0.9852589729364436
48,Ambur,20232,31987,0.9012119495159729
163,Nagapattinam,7238,31981,0.9916733023071594
34,Cheyyur,4042,31607,0.9925195038589466
67,Arani,3128,31519,0.9911227243881674
41,Ranipet,16498,31300,0.9256279641375615
158,Chidambaram,16937,30994,0.9301028562533012
123,Pollachi,1725,30718,0.9942440932360816
196,Thirumangalam,14087,30316,0.9373013164197647
96,Tiruchengodu,2862,30186,0.9919033386865375
171,Kumbakonam,21383,29968,0.8369737460654354
133,Vedasandur,17553,29711,0.8840894273805835
199,Periyakulam,21321,29490,0.834056801835177
198,Andipatti,8538,29309,0.9738223760104668
44,Anaikattu,6360,29082,0.9813977073188369
209,Paramakudi,13285,28921,0.9489966045744078
224,Tirunelveli,23107,28726,0.787630987180746
135,Karur,12448,28579,0.9389445497127827
2,Ponneri,9689,28227,0.9604809922118391
180,Pudukkottai,13001,28114,0.9438401999617828
187,Manamadurai,14091,27551,0.923865256632812
230,Nagercoil,11669,27516,0.9550068105089636
81,Gangavalli,7361,27441,0.973366787217988
68,Cheyyar,12271,27170,0.9253825302226117
111,Mettuppalayam,2456,27039,0.9863732792255089
225,Ambasamudram,16915,26993,0.881655629881934
55,Hosur,12367,26980,0.9468079930293648
42,Arcot,19958,26660,0.7682914468860816
162,Poompuhar,3299,26387,0.983432355413046
155,Cuddalore,5151,26082,0.9781403681728972
200,Bodinayakanur,11021,25851,0.9333592417126462
219,Sankarankovil,5297,25722,0.9774757306622376
157,Bhuvanagiri,8259,25099,0.9530552929858859
152,Vriddhachalam,862,24374,0.9848806107843804
184,Karaikudi,21589,23787,0.7231730789024843
36,Uthiramerur,1622,23438,0.9782479216229323
108,Udhagamandalam,5348,23415,0.9732692913322225
103,Perundurai,14507,22902,0.8340230817052375
95,Paramathi-Velur,7662,22802,0.9427565168843274
33,Thiruporur,1947,22644,0.9761677458042061
93,Senthamangalam,10493,22505,0.899413885194628
222,Tenkasi,370,22073,0.9825603833484752
92,Rasipuram,1952,21755,0.9711830971966054
35,Madurantakam,3570,21371,0.9626907414901643
105,Anthiyur,1275,20330,0.971514848742805
161,Mayiladuthurai,2742,20224,0.967540509024296
220,Vasudevanallur,2367,20152,0.967958970016747
45,Kilvaithinankuppam,10582,19859,0.8714360022188141
160,Sirkazhi,12148,19855,0.8356266017888153
229,Kanniyakumari,16210,19588,0.7060328996583487
110,Coonoor,4105,19466,0.9586418090791465
217,Ottapidaram,8510,19061,0.9043903975528416
65,Kalasapakkam,9222,18616,0.8613703435891221
72,Tindivanam,9753,18473,0.8548934297458477
66,Polur,9725,18017,0.8326469072509484
210,Tiruvadanai,13852,17797,0.7818932105908586
71,Mailam,2230,17796,0.9500393289667696
52,Bargur,12614,17718,0.7554481860153535
47,Vaniyambadi,4904,17416,0.9224958879149089
169,Nannilam,4424,16505,0.9061406435535507
62,Chengam,11570,15815,0.7233592250200342
223,Alangulam,3539,15524,0.9144308163998958
54,Veppanahalli,3054,15305,0.911516934684263
181,Thirumayam,1382,14774,0.934146370893195
49,Jolarpet,1091,14176,0.9237493668930915
148,Kunnam,6329,13150,0.8158295480126448
149,Ariyalur,3234,12638,0.858049636751576
